Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Control_4 Spectral Count	Control_5 Spectral Count	Tratamiento_1 Spectral Count	Tratamiento_2 Spectral Count	Tratamiento_3 Spectral Count	Tratamiento_4 Spectral Count	Tratamiento_5 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Control_4 Unique Spectral Count	Control_5 Unique Spectral Count	Tratamiento_1 Unique Spectral Count	Tratamiento_2 Unique Spectral Count	Tratamiento_3 Unique Spectral Count	Tratamiento_4 Unique Spectral Count	Tratamiento_5 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Control_4 Total Spectral Count	Control_5 Total Spectral Count	Tratamiento_1 Total Spectral Count	Tratamiento_2 Total Spectral Count	Tratamiento_3 Total Spectral Count	Tratamiento_4 Total Spectral Count	Tratamiento_5 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Control_4 Intensity	Control_5 Intensity	Tratamiento_1 Intensity	Tratamiento_2 Intensity	Tratamiento_3 Intensity	Tratamiento_4 Intensity	Tratamiento_5 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Control_4 MaxLFQ Intensity	Control_5 MaxLFQ Intensity	Tratamiento_1 MaxLFQ Intensity	Tratamiento_2 MaxLFQ Intensity	Tratamiento_3 MaxLFQ Intensity	Tratamiento_4 MaxLFQ Intensity	Tratamiento_5 MaxLFQ Intensity	Indistinguishable Proteins
sp|P47974|TISD_HUMAN	P47974	TISD_HUMAN	ZFP36L2	494	Homo sapiens	1:Experimental evidence at protein level	mRNA decay activator protein ZFP36L2	1.0	0.999	7	19	18	19	1	3	1	1	2	3	3	1	2	2	1	2	1	1	2	3	3	1	2	2	1	3	1	1	2	3	3	1	2	2	42510.414	55531.816	21676.72	35307.594	42501.633	73817.64	50721.258	30689.904	44161.58	20219.043	17579.516	15325.592	14407.444	17871.709	15807.262	17946.852	16345.648	13531.146	17645.617	17046.55	
sp|P47985|UCRI_HUMAN	P47985	UCRI_HUMAN	UQCRFS1	274	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit Rieske, mitochondrial	1.0	0.999	7	94	28	94	9	10	12	11	11	11	8	7	7	8	4	2	3	4	1	5	3	2	2	2	9	10	12	11	11	11	8	7	7	8	262051.53	270210.8	291504.53	316004.16	271031.5	224535.06	206617.34	198491.98	175502.05	229446.92	85668.97	81965.41	84832.15	91391.69	79963.766	67806.73	60950.04	67604.36	65855.24	70155.57	
sp|P48047|ATPO_HUMAN	P48047	ATPO_HUMAN	ATP5PO	213	Homo sapiens	1:Experimental evidence at protein level	ATP synthase peripheral stalk subunit OSCP, mitochondrial	1.0	0.999	8	172	172	172	24	25	20	19	19	12	12	14	12	15	24	25	20	19	19	12	12	14	12	15	24	25	20	19	19	12	12	14	12	15	1399274.1	1258228.9	1193669.0	1409510.4	1184960.1	718539.44	603152.1	753368.2	635634.1	635764.1	458252.0	409255.53	362049.2	426444.66	370488.94	223579.42	218200.75	243485.55	263139.9	265803.8	
sp|P48059|LIMS1_HUMAN	P48059	LIMS1_HUMAN	LIMS1	325	Homo sapiens	1:Experimental evidence at protein level	LIM and senescent cell antigen-like-containing domain protein 1	1.0	0.999	10	147	90	147	16	17	13	13	16	13	17	12	17	13	9	10	8	8	10	8	10	7	11	9	16	17	13	13	16	13	17	12	17	13	566122.94	575143.06	560277.2	553376.75	581366.56	572739.75	621362.1	602606.7	509694.06	548501.9	141167.81	133647.97	139821.73	141714.73	137495.03	140323.39	149969.14	142170.4	137286.44	136920.2	
sp|P48060|GLIP1_HUMAN	P48060	GLIP1_HUMAN	GLIPR1	266	Homo sapiens	1:Experimental evidence at protein level	Glioma pathogenesis-related protein 1	1.0	0.999	3	24	24	24	3	3	2	2	2	2	3	2	3	2	3	3	2	2	2	2	3	2	3	2	3	3	2	2	2	2	3	2	3	2	57808.273	66045.28	64709.63	49184.12	64315.953	54700.625	55192.668	60291.797	58869.492	91430.79	37081.098	40620.29	41322.566	34662.81	44991.445	37954.88	38752.684	41493.305	41698.49	57808.465	
sp|P48147|PPCE_HUMAN	P48147	PPCE_HUMAN	PREP	710	Homo sapiens	1:Experimental evidence at protein level	Prolyl endopeptidase	1.0	0.999	16	179	179	179	17	17	15	17	21	19	16	13	23	21	17	17	15	17	21	19	16	13	23	21	17	17	15	17	21	19	16	13	23	21	529641.1	517545.5	536686.3	503603.0	552026.5	502239.75	534187.6	548056.8	609830.4	550551.75	95025.836	84532.37	88119.05	90823.72	98292.56	90300.586	93637.234	93814.5	93765.64	93363.984	
sp|P48163|MAOX_HUMAN	P48163	MAOX_HUMAN	ME1	572	Homo sapiens	1:Experimental evidence at protein level	NADP-dependent malic enzyme	1.0	0.999	18	188	188	188	18	20	17	22	18	18	21	17	18	19	18	20	17	22	18	18	21	17	18	19	18	20	17	22	18	18	21	17	18	19	474887.9	543806.0	542045.2	427131.38	490646.94	374456.56	465823.88	439944.94	557188.7	633143.56	76537.5	69806.69	73798.5	69363.15	76433.1	69052.59	71895.734	67301.234	80423.65	86689.3	
sp|P48200|IREB2_HUMAN	P48200	IREB2_HUMAN	IREB2	963	Homo sapiens	1:Experimental evidence at protein level	Iron-responsive element-binding protein 2	0.9734	0.9957	2	5	5	5	0	2	1	0	2	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	46037.645	103645.84	96162.69	102579.09	61841.875	86072.1	158316.12	70924.03	35812.59	92067.19	46848.742	77181.92	71257.484	76419.414	38603.99	87588.53	116919.44	72173.58	36443.54	60769.55	
sp|P48426|PI42A_HUMAN	P48426	PI42A_HUMAN	PIP4K2A	406	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	1.0	0.999	5	34	33	34	3	4	3	4	4	2	4	3	4	3	3	4	3	3	4	2	4	3	4	3	3	4	3	4	4	2	4	3	4	3	59194.67	67066.66	53508.168	59264.92	64474.094	50276.438	72888.58	55272.008	49531.355	59134.15	20135.848	24063.975	19236.135	20768.996	23482.115	21317.076	21300.584	19013.66	18492.232	21614.201	
sp|P48444|COPD_HUMAN	P48444	COPD_HUMAN	ARCN1	511	Homo sapiens	1:Experimental evidence at protein level	Coatomer subunit delta	1.0	0.999	23	320	320	320	36	35	28	30	30	30	33	32	33	33	36	35	28	30	30	30	33	32	33	33	36	35	28	30	30	30	33	32	33	33	1825193.8	1707909.4	1975539.1	1954416.0	1913924.2	1810225.6	1917222.0	1999011.0	1775348.2	1866172.0	422684.66	395252.0	395560.34	366712.06	399702.88	390435.34	407200.34	401290.7	409663.28	437959.84	
sp|P48449|LSS_HUMAN	P48449	LSS_HUMAN	LSS	732	Homo sapiens	1:Experimental evidence at protein level	Lanosterol synthase	1.0	0.999	11	69	69	69	8	7	6	8	7	5	8	7	6	7	8	7	6	8	7	5	8	7	6	7	8	7	6	8	7	5	8	7	6	7	209115.19	228646.56	210207.27	217898.48	250014.7	183411.8	194835.53	228446.31	239628.17	213392.45	58869.094	54744.977	52279.523	59634.746	56134.105	46256.62	54621.74	54061.215	55442.562	51082.8	
sp|P48506|GSH1_HUMAN	P48506	GSH1_HUMAN	GCLC	637	Homo sapiens	1:Experimental evidence at protein level	Glutamate--cysteine ligase catalytic subunit	1.0	0.999	3	8	8	8	0	0	0	2	1	0	0	3	1	1	0	0	0	2	1	0	0	3	1	1	0	0	0	2	1	0	0	3	1	1	0.0	20849.59	18128.785	30973.332	24274.008	23525.22	0.0	24715.016	17210.53	22408.533	0.0	10955.516	13683.735	12544.939	12658.027	12344.338	0.0	10593.152	17133.809	11709.556	
sp|P48507|GSH0_HUMAN	P48507	GSH0_HUMAN	GCLM	274	Homo sapiens	1:Experimental evidence at protein level	Glutamate--cysteine ligase regulatory subunit	1.0	0.999	7	86	86	86	8	10	6	7	8	9	9	12	10	7	8	10	6	7	8	9	9	12	10	7	8	10	6	7	8	9	9	12	10	7	315683.75	276657.94	256384.0	283980.75	268200.8	306164.6	267519.84	313259.5	311749.97	218864.72	97780.78	85213.3	81542.91	91150.94	91147.93	96015.016	94849.93	99759.1	99038.69	83442.445	
sp|P48509|CD151_HUMAN	P48509	CD151_HUMAN	CD151	253	Homo sapiens	1:Experimental evidence at protein level	CD151 antigen	0.9716	0.999	1	9	9	9	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	40125.266	44170.207	38342.11	32187.773	40767.293	38357.758	43337.098	39520.594	38457.61	43580.105	40125.266	44170.207	38342.11	32187.773	40767.293	38357.758	43337.098	39520.594	38457.61	43580.105	
sp|P48556|PSMD8_HUMAN	P48556	PSMD8_HUMAN	PSMD8	350	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 8	1.0	0.999	5	37	37	37	4	3	2	4	3	5	3	4	6	3	4	3	2	4	3	5	3	4	6	3	4	3	2	4	3	5	3	4	6	3	220026.8	141209.67	139127.42	203120.8	171469.25	197657.42	146867.92	111549.86	206855.42	176833.02	88065.664	78346.305	60047.09	70984.02	83961.71	74213.27	78481.93	62087.668	83513.48	70936.93	
sp|P48634|PRC2A_HUMAN	P48634	PRC2A_HUMAN	PRRC2A	2157	Homo sapiens	1:Experimental evidence at protein level	Protein PRRC2A	1.0	0.999	7	23	23	23	4	2	1	2	2	2	3	2	3	2	4	2	1	2	2	2	3	2	3	2	4	2	1	2	2	2	3	2	3	2	63994.547	82580.81	80504.125	95591.914	101423.15	61028.99	93224.914	45396.758	55626.72	70380.984	39689.453	23439.53	27084.643	36769.258	30783.283	39803.6	38568.34	31752.975	28091.586	17814.752	
sp|P48637|GSHB_HUMAN	P48637	GSHB_HUMAN	GSS	474	Homo sapiens	1:Experimental evidence at protein level	Glutathione synthetase	1.0	0.999	12	125	125	125	13	12	10	14	9	13	16	12	14	12	13	12	10	14	9	13	16	12	14	12	13	12	10	14	9	13	16	12	14	12	546242.6	922491.4	1004644.8	1363917.5	1213752.0	1465658.5	1358939.1	1522243.2	339113.66	357721.3	419255.94	441727.1	485097.34	480604.66	370258.6	435393.66	476845.75	466928.97	409370.66	397815.0	
sp|P48643|TCPE_HUMAN	P48643	TCPE_HUMAN	CCT5	541	Homo sapiens	1:Experimental evidence at protein level	T-complex protein 1 subunit epsilon	1.0	0.999	24	690	671	690	59	66	76	64	64	63	66	67	79	86	57	64	74	62	61	61	64	66	78	84	59	66	76	64	64	63	66	67	79	86	3647047.2	3933851.5	3923242.0	3727887.8	3429672.8	3119874.2	3879624.0	3965104.5	4236912.0	4890051.5	426182.06	432620.53	435945.3	442208.34	399200.72	383654.0	437238.75	460101.22	489554.28	511301.78	
sp|P48651|PTSS1_HUMAN	P48651	PTSS1_HUMAN	PTDSS1	473	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylserine synthase 1	1.0	0.999	2	12	12	12	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	56650.094	28033.455	26100.521	67614.1	30447.73	28125.023	34785.004	33195.49	28590.541	23277.719	34929.4	29427.26	27398.223	28371.473	31961.572	29523.38	36514.492	34845.945	30012.045	24435.072	
sp|P48681|NEST_HUMAN	P48681	NEST_HUMAN	NES	1621	Homo sapiens	1:Experimental evidence at protein level	Nestin	1.0	0.999	46	529	529	529	49	48	55	54	55	58	63	55	47	45	49	48	55	54	55	58	63	55	47	45	49	48	55	54	55	58	63	55	47	45	1941806.8	1530085.9	1668118.1	1745072.8	1772423.5	2129542.0	2036426.2	1775736.1	1771433.9	1621326.6	130737.37	109138.82	118939.08	124590.46	125196.66	150022.47	133833.97	131056.85	127107.82	115308.984	
sp|P48723|HSP13_HUMAN	P48723	HSP13_HUMAN	HSPA13	471	Homo sapiens	1:Experimental evidence at protein level	Heat shock 70 kDa protein 13	1.0	0.999	8	47	47	47	4	4	4	7	3	6	5	7	3	4	4	4	4	7	3	6	5	7	3	4	4	4	4	7	3	6	5	7	3	4	157247.98	93667.875	85959.93	101219.09	62954.58	235393.62	150486.73	178769.33	152660.89	108936.27	43228.363	37132.223	35308.465	42233.34	38160.848	44940.0	40421.727	42332.934	43958.785	37487.055	
sp|P48729|KC1A_HUMAN	P48729	KC1A_HUMAN	CSNK1A1	337	Homo sapiens	1:Experimental evidence at protein level	Casein kinase I isoform alpha	1.0	0.999	5	33	23	33	4	3	2	4	3	3	3	3	4	4	3	2	1	3	2	2	2	2	3	3	4	3	2	4	3	3	3	3	4	4	99499.69	84176.34	91648.96	68315.86	88429.18	83119.69	67706.266	119202.65	110007.83	101645.49	26905.49	29437.465	29585.72	27853.592	30164.21	26916.023	23813.994	31439.346	30642.434	31435.094	
sp|P48730|KC1D_HUMAN	P48730	KC1D_HUMAN	CSNK1D	415	Homo sapiens	1:Experimental evidence at protein level	Casein kinase I isoform delta	1.0	0.999	3	17	0	17	3	2	3	1	3	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	3	2	3	1	3	0	0	2	2	1	44511.363	35191.676	43215.453	19934.98	32871.684	24920.691	20363.826	31326.078	31757.078	13600.212	18803.145	19772.883	19092.012	18171.48	18811.629	14154.532	17214.514	18207.21	18005.467	20471.9	sp|P49674|KC1E_HUMAN
sp|P48735|IDHP_HUMAN	P48735	IDHP_HUMAN	IDH2	452	Homo sapiens	1:Experimental evidence at protein level	Isocitrate dehydrogenase [NADP], mitochondrial	1.0	0.999	14	152	152	152	17	13	13	17	17	17	13	15	15	15	17	13	13	17	17	17	13	15	15	15	17	13	13	17	17	17	13	15	15	15	594771.8	610596.1	547035.7	596801.5	612847.5	575481.94	546298.56	579426.75	533536.9	553954.44	124669.36	125946.586	112239.3	125123.97	120633.25	114316.53	111347.74	117074.02	118004.016	109491.234	
sp|P48739|PIPNB_HUMAN	P48739	PIPNB_HUMAN	PITPNB	271	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylinositol transfer protein beta isoform	1.0	0.999	11	138	114	138	13	14	15	11	11	16	16	14	15	13	10	12	13	9	9	13	12	12	13	11	13	14	15	11	11	16	16	14	15	13	490317.34	400782.8	419171.44	422536.16	433235.1	386382.8	389619.25	420049.56	511423.94	419334.44	130817.18	110703.05	105121.43	105416.9	106355.51	112184.3	115611.79	120997.95	134404.23	108733.01	
sp|P48960|AGRE5_HUMAN	P48960	AGRE5_HUMAN	ADGRE5	835	Homo sapiens	1:Experimental evidence at protein level	Adhesion G protein-coupled receptor E5	1.0	0.999	7	89	89	89	7	9	8	9	10	7	11	8	9	11	7	9	8	9	10	7	11	8	9	11	7	9	8	9	10	7	11	8	9	11	236927.38	245900.06	192976.1	210097.28	227951.64	247919.62	249441.95	209200.31	183712.38	203133.48	75863.21	78137.77	73397.59	81833.125	81729.65	82415.11	86686.82	72587.59	77489.51	76080.09	
sp|P49005|DPOD2_HUMAN	P49005	DPOD2_HUMAN	POLD2	469	Homo sapiens	1:Experimental evidence at protein level	DNA polymerase delta subunit 2	1.0	0.999	2	6	6	6	0	2	0	0	0	1	0	0	1	2	0	2	0	0	0	1	0	0	1	2	0	2	0	0	0	1	0	0	1	2	15235.574	28060.703	11943.636	22744.96	11724.248	20481.547	12365.372	26334.598	25492.867	25882.652	15026.289	15123.357	11779.571	12332.541	14034.088	11134.463	12195.514	14063.311	13592.405	13872.442	
sp|P49006|MRP_HUMAN	P49006	MRP_HUMAN	MARCKSL1	195	Homo sapiens	1:Experimental evidence at protein level	MARCKS-related protein	0.9716	0.999	1	2	2	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	48673.547	0.0	28847.867	47837.58	0.0	29150.365	0.0	0.0	26337.46	22409.521	48673.547	0.0	28847.867	47837.58	0.0	29150.365	0.0	0.0	26337.46	22409.521	
sp|P49023|PAXI_HUMAN	P49023	PAXI_HUMAN	PXN	591	Homo sapiens	1:Experimental evidence at protein level	Paxillin	1.0	0.999	18	213	213	213	17	24	19	19	16	23	24	20	25	26	17	24	19	19	16	23	24	20	25	26	17	24	19	19	16	23	24	20	25	26	765183.2	756474.56	784401.0	765427.25	651802.5	857190.5	800702.9	698485.7	775493.25	824555.44	137239.86	125666.66	140209.47	133397.16	134339.0	156392.14	150521.56	127037.56	134700.44	133901.06	
sp|P49069|CAMLG_HUMAN	P49069	CAMLG_HUMAN	CAMLG	296	Homo sapiens	1:Experimental evidence at protein level	Guided entry of tail-anchored proteins factor CAMLG	0.9997	0.999	2	8	8	8	1	2	0	0	1	1	0	1	1	1	1	2	0	0	1	1	0	1	1	1	1	2	0	0	1	1	0	1	1	1	28966.246	30448.598	10227.352	10846.166	18196.031	33160.633	11367.359	31892.654	15256.377	29136.5	15225.447	15854.184	11171.338	11847.269	18071.61	17179.87	12416.568	16010.824	15152.056	15263.991	
sp|P49116|NR2C2_HUMAN	P49116	NR2C2_HUMAN	NR2C2	596	Homo sapiens	1:Experimental evidence at protein level	Nuclear receptor subfamily 2 group C member 2	0.9716	0.999	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7500.3926	9512.828	0.0	0.0	0.0	8476.276	0.0	0.0	0.0	0.0	7500.3926	9512.828	0.0	0.0	0.0	8476.276	0.0	0.0	0.0	0.0	
sp|P49137|MAPK2_HUMAN	P49137	MAPK2_HUMAN	MAPKAPK2	400	Homo sapiens	1:Experimental evidence at protein level	MAP kinase-activated protein kinase 2	1.0	0.999	4	26	18	26	3	3	3	1	3	2	3	2	3	3	2	2	2	1	3	1	2	1	2	2	3	3	3	1	3	2	3	2	3	3	109555.77	109486.67	93396.85	79773.43	111510.19	79962.97	72786.72	79284.25	94608.46	108590.46	43822.684	43076.977	38736.715	31995.455	44244.77	34272.43	35132.33	37183.434	41257.95	47288.86	
sp|P49184|DNSL1_HUMAN	P49184	DNSL1_HUMAN	DNASE1L1	302	Homo sapiens	1:Experimental evidence at protein level	Deoxyribonuclease-1-like 1	1.0	0.999	3	19	19	19	2	1	3	3	2	3	1	2	1	1	2	1	3	3	2	3	1	2	1	1	2	1	3	3	2	3	1	2	1	1	52875.195	88178.58	68003.016	68258.66	50967.07	69031.75	74868.07	51128.164	68385.234	52013.16	22995.027	37543.48	30046.104	30502.355	22300.287	30734.887	31859.496	30085.152	38877.668	29591.969	
sp|P49189|AL9A1_HUMAN	P49189	AL9A1_HUMAN	ALDH9A1	494	Homo sapiens	1:Experimental evidence at protein level	4-trimethylaminobutyraldehyde dehydrogenase	1.0	0.999	12	153	153	153	14	17	15	18	17	9	13	16	16	18	14	17	15	18	17	9	13	16	16	18	14	17	15	18	17	9	13	16	16	18	678827.1	641329.44	640880.3	621031.44	596755.1	529327.6	553259.56	637872.75	680321.94	646505.75	134684.84	129841.234	127152.07	121878.984	114607.28	105577.24	118316.37	121342.6	125785.94	123732.336	
sp|P49207|RL34_HUMAN	P49207	RL34_HUMAN	RPL34	117	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL34	1.0	0.999	5	78	78	78	2	8	11	1	4	16	9	3	12	12	2	8	11	1	4	16	9	3	12	12	2	8	11	1	4	16	9	3	12	12	81175.47	102266.74	109192.07	19964.352	100127.2	146972.53	130394.94	43419.266	131987.19	138266.81	77644.84	56580.418	56878.645	46940.61	49429.043	68638.11	132391.62	65249.35	66437.99	62472.043	
sp|P49247|RPIA_HUMAN	P49247	RPIA_HUMAN	RPIA	311	Homo sapiens	1:Experimental evidence at protein level	Ribose-5-phosphate isomerase	1.0	0.999	2	23	23	23	3	2	4	2	2	2	2	2	2	2	3	2	4	2	2	2	2	2	2	2	3	2	4	2	2	2	2	2	2	2	70412.59	56608.43	68676.75	63705.055	66383.664	52336.68	49909.18	61588.992	72491.305	69387.67	41779.086	32709.656	39842.8	37047.164	39340.348	30918.352	28972.15	36229.625	42465.63	40048.02	
sp|P49257|LMAN1_HUMAN	P49257	LMAN1_HUMAN	LMAN1	510	Homo sapiens	1:Experimental evidence at protein level	Protein ERGIC-53	1.0	0.999	17	221	221	221	23	20	21	20	21	21	23	27	24	21	23	20	21	20	21	21	23	27	24	21	23	20	21	20	21	21	23	27	24	21	1702566.1	1621113.6	1551430.9	1474140.8	1320429.8	1540638.8	1615229.4	1577321.5	1846558.9	1680885.4	296577.8	299044.9	282027.47	277936.62	277616.1	268753.4	286209.9	296735.44	329129.5	322596.06	
sp|P49281|NRAM2_HUMAN	P49281	NRAM2_HUMAN	SLC11A2	568	Homo sapiens	1:Experimental evidence at protein level	Natural resistance-associated macrophage protein 2	1.0	0.999	2	12	12	12	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	26507.92	37137.367	24085.326	25577.094	26000.965	23672.06	25981.412	25288.707	24067.334	33218.176	26507.92	26871.621	24085.326	25577.094	26000.965	23672.06	25981.412	25288.707	24067.334	25302.945	
sp|P49321|NASP_HUMAN	P49321	NASP_HUMAN	NASP	788	Homo sapiens	1:Experimental evidence at protein level	Nuclear autoantigenic sperm protein	1.0	0.999	14	183	183	183	18	19	21	15	18	17	20	17	17	21	18	19	21	15	18	17	20	17	17	21	18	19	21	15	18	17	20	17	17	21	693835.44	760586.94	767254.7	689005.1	748142.94	688581.44	663641.3	659368.9	658810.8	724679.75	193569.81	207557.14	223593.06	202355.7	229816.14	202712.48	202873.34	201500.34	198739.05	207050.67	
sp|P49327|FAS_HUMAN	P49327	FAS_HUMAN	FASN	2511	Homo sapiens	1:Experimental evidence at protein level	Fatty acid synthase	1.0	0.999	76	1137	1137	1137	113	124	115	115	116	108	121	101	110	114	113	124	115	115	116	108	121	101	110	114	113	124	115	115	116	108	121	101	110	114	6460270.5	6775804.0	5956279.0	5871404.0	5823523.5	4865647.0	5117783.0	5444069.5	5483140.5	6197740.5	416856.44	434967.25	392592.88	383644.78	404998.22	334546.38	371574.56	374120.47	379229.34	402957.22	
sp|P49354|FNTA_HUMAN	P49354	FNTA_HUMAN	FNTA	379	Homo sapiens	1:Experimental evidence at protein level	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	1.0	0.999	6	61	61	61	6	7	8	6	6	6	7	4	4	7	6	7	8	6	6	6	7	4	4	7	6	7	8	6	6	6	7	4	4	7	98246.3	159460.56	149980.31	101591.125	138949.55	124801.77	160788.38	70424.336	94797.305	112332.71	42791.65	54432.71	51244.035	42612.64	50483.28	36044.938	48865.457	35341.02	46987.168	72716.26	
sp|P49356|FNTB_HUMAN	P49356	FNTB_HUMAN	FNTB	437	Homo sapiens	1:Experimental evidence at protein level	Protein farnesyltransferase subunit beta	1.0	0.999	3	8	8	8	1	1	1	0	2	1	2	0	0	0	1	1	1	0	2	1	2	0	0	0	1	1	1	0	2	1	2	0	0	0	57734.805	71757.266	26020.248	6123.5347	38060.695	41898.332	63574.586	51806.555	28229.934	32430.357	30014.373	27949.426	39386.31	17569.205	37055.55	18809.398	29370.705	18469.305	28827.916	34038.113	
sp|P49366|DHYS_HUMAN	P49366	DHYS_HUMAN	DHPS	369	Homo sapiens	1:Experimental evidence at protein level	Deoxyhypusine synthase	0.9998	0.999	2	10	10	10	1	2	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	114975.92	103676.305	101033.52	110894.45	65683.85	113883.46	122016.98	96863.44	57002.594	65497.65	80973.555	90641.94	85911.03	80953.15	60933.582	71705.56	94417.164	78796.17	63470.527	75689.55	
sp|P49368|TCPG_HUMAN	P49368	TCPG_HUMAN	CCT3	545	Homo sapiens	1:Experimental evidence at protein level	T-complex protein 1 subunit gamma	1.0	0.999	32	630	630	630	60	56	63	65	65	55	64	66	72	64	60	56	63	65	65	55	64	66	72	64	60	56	63	65	65	55	64	66	72	64	5492244.5	5325641.0	5598598.0	5498683.0	5318351.5	4608905.0	5126968.5	5046372.5	5206059.5	5360776.0	1417877.6	1351477.6	1359843.5	1383928.6	1362258.2	1242220.5	1408223.8	1372077.5	1466977.2	1412524.5	
sp|P49406|RM19_HUMAN	P49406	RM19_HUMAN	MRPL19	292	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein bL19m	1.0	0.999	5	27	27	27	4	3	4	3	5	3	1	2	1	1	4	3	4	3	5	3	1	2	1	1	4	3	4	3	5	3	1	2	1	1	103956.055	64592.965	56162.9	66860.66	96168.36	58981.6	26016.305	29483.262	20386.373	48020.92	30125.686	21648.186	17364.799	18834.738	22676.512	13798.028	13624.99	14744.279	18553.5	17487.514	
sp|P49411|EFTU_HUMAN	P49411	EFTU_HUMAN	TUFM	455	Homo sapiens	1:Experimental evidence at protein level	Elongation factor Tu, mitochondrial	1.0	0.999	22	360	360	360	45	44	34	41	37	32	29	31	33	34	45	44	34	41	37	32	29	31	33	34	45	44	34	41	37	32	29	31	33	34	2212678.2	2044305.2	1949677.2	2115091.0	1894386.9	1333798.0	1190625.4	1379619.6	1446444.4	1469572.1	570962.5	526538.25	480673.8	498588.62	422699.72	343965.16	307057.16	341841.56	387995.3	402407.8	
sp|P49419|AL7A1_HUMAN	P49419	AL7A1_HUMAN	ALDH7A1	539	Homo sapiens	1:Experimental evidence at protein level	Alpha-aminoadipic semialdehyde dehydrogenase	1.0	0.999	12	128	128	128	15	16	13	13	18	9	9	11	14	10	15	16	13	13	18	9	9	11	14	10	15	16	13	13	18	9	9	11	14	10	650703.25	530065.6	505783.78	563358.56	516438.4	429958.8	376063.2	459127.4	493988.03	417257.22	128050.625	99380.54	106060.59	122040.42	109126.68	97122.4	90321.5	100995.51	104527.94	96778.21	
sp|P49441|INPP_HUMAN	P49441	INPP_HUMAN	INPP1	399	Homo sapiens	1:Experimental evidence at protein level	Inositol polyphosphate 1-phosphatase	1.0	0.999	4	34	34	34	2	4	4	4	2	3	5	3	5	2	2	4	4	4	2	3	5	3	5	2	2	4	4	4	2	3	5	3	5	2	97251.81	107797.79	132289.5	118565.27	100247.766	79885.55	101645.03	114326.08	107527.234	105534.72	70220.8	88977.99	93757.01	76427.94	82820.234	63209.07	77429.44	78320.71	76926.55	74539.6	
sp|P49458|SRP09_HUMAN	P49458	SRP09_HUMAN	SRP9	86	Homo sapiens	1:Experimental evidence at protein level	Signal recognition particle 9 kDa protein	1.0	0.999	2	26	26	26	2	3	2	3	3	3	3	2	3	2	2	3	2	3	3	3	3	2	3	2	2	3	2	3	3	3	3	2	3	2	267686.5	214987.28	215009.95	224568.47	226445.05	195889.86	274673.25	284303.12	243186.69	220684.81	165818.67	135096.02	138901.53	145991.86	144606.55	128404.734	182674.81	189103.75	152991.17	135699.23	
sp|P49459|UBE2A_HUMAN	P49459	UBE2A_HUMAN	UBE2A	152	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 A	0.9698	0.9989	1	2	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	7031.796	5634.631	0.0	0.0	0.0	6595.9565	0.0	0.0	0.0	0.0	7031.796	5634.631	0.0	0.0	0.0	6595.9565	
